,Doctor name,Specialty,Overall rating,No. of reviews,Reviews,Review rating
10,Dr. Marc Mullie,Ophthalmologist,4.9,267,"I got the best doctor for my eye correcting surgery. I will be forever thankful for Dr Mullie for this surgery. The best experience ever. I would do it again. Professional, competent, reassuring, the best doctor and the best technology for this operation. I could've not ask for better. Thank you!!",5.0
11,Dr. Marc Mullie,Ophthalmologist,4.9,267,"le campus mil a un drole de trou et c’est quand même une belle œuvre dart meme si je sais pas pourquoi on peut Ps traverser le mil sans aller sur la rampe en beton, ya des yo qui egaient le dessous du mil en faisant du skate et la clinique du Dr mully est nearby",5.0
12,Dr. Marc Mullie,Ophthalmologist,4.9,267,"Dr. Mullie performed my all laser eye surgery. It’s been 5 days now and no issues! He was professional and made me feel confident of his abilities. I did not feel nervous before during nor after the surgery. He is honest and is very selective of candidates after consultation. I am glad I did it, he’s kind and an expert in his field.",5.0
13,Dr. Marc Mullie,Ophthalmologist,4.9,267,"Seriously, what are you waiting for? Laser eye surgery changed my four-eyed life. Based on all the people I know who’ve had Dr. Mullie as their surgeon, I didn’t bother to doc shop as I wouldn’t have trusted anyone else. I now see why he came so highly recommended, and have recommended him to anyone curious about the procedure. I felt safe and supported every step of the way, with no pressure to book the surgery until I had been thoroughly tested and had the procedure explained in detail by Dr. Mullie himself. I am less than a month post-procedure and my eyesight is better than 20/20 (starting from more than halfway to legally blind, FWIW). Shoutout to Danièle, Amanda and the rest of his team; in my experience, good doctors attract and keep good technicians and staff, which in turn makes the entire procedure low stress. The worst part of recovery for me was the boredom of the first 24 hours without screentime; although I cannot speak for everyone, I was lucky to experience neither pain nor irritation, even immediately post-op.",5.0
14,Dr. Marc Mullie,Ophthalmologist,4.9,267,"I had laser eye surgery and my experience was a DREAM! The staff was amazing and friendly, Dr Mullie was calm and answered all my questions! I felt like I was in safe hands from the minute I met him and his staff. My operation went so smoothly and I now have perfect eyesight! I recommend this doctor 10000000000%",5.0
15,Dr. Marc Mullie,Ophthalmologist,4.9,267,"He was friendly, efficient, on time and left me feeling confident.",5.0
16,Dr. Marc Mullie,Ophthalmologist,4.9,267,Awesome service! Cant say anything negative. The whole team is efficient and helpful.,5.0
17,Dr. Marc Mullie,Ophthalmologist,4.9,267,Dr. Mullie a été à l'écoute de mes besoins . Il est extrêmement compétent et je me suis sentie entre bonnes mains pour cette opération qui me rendait anxieuse. Tout s'est très bien passé. Je recommande vivement ce chirurgien :),5.0
18,Dr. Marc Mullie,Ophthalmologist,4.9,267,"Un immense merci à Dr. Marc Mullie qui a fait mon opération il y a deux jours, et à son équipe qui est très professionnelle, à l'écoute et remplie de bienveillance: tout c'est super bien passé, ma vue est superbe!! Je le recommande à 100%, ça change une vie !",5.0
19,Dr. Marc Mullie,Ophthalmologist,4.9,267,"Excellent service, explains very well the surgery. Made me feel very comfortable before the surgery. I highly recommend Dr Mullie and his team.",5.0
20,Dr. Marc Mullie,Ophthalmologist,4.9,267,A big thank you to Dr. Marc Mullie. Went to do eye laser surgery and couldn't even be more satisfied with the results. Highly recommend!,5.0
21,Dr. Marc Mullie,Ophthalmologist,4.9,267,I strongly recommend going to Laservue. Very satisfied with the results.,5.0
22,Dr. Marc Mullie,Ophthalmologist,4.9,267,J'ai faite ma correction au lazer avec Dr mullie il est excellent je recommande,5.0
23,Dr. Marc Mullie,Ophthalmologist,4.9,267,"Ce médecin est excellent, très compétent, humain et rassurant. Il explique bien son plan de traitement et il assure un excellent suivi. Je le recommande sans hésitation!",5.0
24,Dr. Marc Mullie,Ophthalmologist,4.9,267,"I had a fantastic experience with Dr. Mullie. He explained everything very thoroughly and I knew what to expect every step of the way. Everyone at Laservue was so kind and helpful, I would recommend it 100%!",5.0
25,Dr. Marc Mullie,Ophthalmologist,4.9,267,"J’ai fait le laser avec Dr.Mullie, l’expérience de A à Z était simplement parfaite. L’équipe est humaine et professionnelle. On a répondu à toutes mes questions avec patience. Je recommande le Dr.Mullie sans hésitation. Merci",5.0
26,Dr. Marc Mullie,Ophthalmologist,4.9,267,"I got laser eye surgery by Dr. Mullie on the 24th of Nov. Him and he's team are very professional. I got recommended by a close friend of mine that goes he's done by Dr. Mullie and told me it was the best investment of he's life. He was right! It was the best investment that I've ever done! My eyes were both -3.5 and now I have 20-15 vision. The results are incredible and life changing, The only regret I have is that I should of done it sooner. Thank you so much Dr, Mullie. I highly recommend Dr. Mullie.",5.0
27,Dr. Marc Mullie,Ophthalmologist,4.9,267,"I got laser eye surgery in March 2020 from Dr. Marc Mullie. I went from having a -9 prescription to 20/20 vision. He clearly explained all the risks to me and was very patient with all my questions. A few hours after the surgery, I got so emotional because I could see everything so clearly. I had checkups with Dr. Mullie every 6 months. The post-surgery care is fantastic! The staff was so nice to me and I received a payment plan option because I had a Desjardins credit card. I paid the cost of the surgery over 12 months. Dr. Mullie's team really takes the time out to sit with you and explain everything in detail. I did not feel overwhelmed at any stage of this process. I highly recommend Dr. Mar Mullie. Thank you so much for giving me back my 20/20 vision!",5.0
28,Dr. Marc Mullie,Ophthalmologist,4.9,267,"This Dr. has magic hands! I am so lucky that I got to do my Lasik with Dr. Mullie. He's truly a knowledgeable and experienced ophtalmologist. He put me at ease, answered all my questions and went through the procedure thoroughly with me. I felt very safe with him. He was very patient as well because I was a ball of nerves and hesitant about Lasik for years. After I met with him, I was confident I was in the right hands. It's been over a month now, and I couldn't be happier. Thank you so much Dr. Mullie.",4.5
29,Dr. Marc Mullie,Ophthalmologist,4.9,267,"Docteur fantastique soutenu par une équipe de feu chez Laservue. Ils sont très efficaces et professionels, font un travail de qualité et sont super clairs avec leurs clients, que ce soit à chaque consultation, rendez-vous ou suivi. Je suis si contente d'avoir eu cette expérience avec eux. Je recommande cette clinique (et particulièrement cet ophtalmologiste) à n'importe qui cherchant un processus informé, compétent et rassurant. Merci mille fois pour avoir corrigé ma vue, 10/10!",5.0
30,Dr. Marc Mullie,Ophthalmologist,4.9,267,"Excellent service, du début à la fin. Je recommande la clinique Laservue, sans hésitation",5.0
31,Dr. Marc Mullie,Ophthalmologist,4.9,267,"I've been contemplating Lasik for 4 years, I went for consultation on June 9th and had the surgery June 14th. My experience was out of this world, Laservue has topnotch specialists.
Dr. Mullie and his team are patient-centered. they want to see people happy and they do their best for everyone. 
Dr Mullie is very experienced, patient, kind and works magic with his hands. He took the time to explain everything in details. He personally meets his patients during the consultation and for postop follow ups.
The office managers Carolyn, Danielle and Daniel were very kind, humble and very caring.
The medical staff Ben, Domenic and Nancy are very knowledgeable, explains every tests they're running and do indeed complement Dr Mullie.
Dr Mullie and his team run a state of the art facility, are very experienced, socially and emotionally intelligent. I had an amazing experience and I would recommend them to anyone wearing glasses (I already did).
My surgery was painless, didn't hurt one single bit. the postop instructions were very clear (please follow Dr Mullie and his team's instructions for eyedrops). the 4 hours after surgery were as I was advised but I was given the correct eyedrops to deal with the slight burning sensations. After the initial 4 hours I was feeling wonderful and I could see clearly faraway objects. my eyesight is better than 20/20; I'm at 20/15. 
Thank you Dr Mullie, Danielle, Carolyn, Nancy, Ben, Daniel & Domenic!!!! I appreciate each of you so very much and I'm grateful for the luxurious, kind and caring service you provided me. Cheers & Stay safe.",5.0
32,Dr. Marc Mullie,Ophthalmologist,4.9,267,"I have been considering lasik for so long but never have enough courage and knowledge to confidently make the decision. I then spent a lot of time reading all kinds of forum and discussion about it, which people suggested me to go to Doctor Mullie and Clinic Laservue if I want to do it in Montreal. Doctor and the team took time to explain to me in details all different kinds of surgery, what to expect etc...The first consultation went so great that I felt completely ready for the surgery and went ahead to book for it. It has now been 3 weeks after the surgery and my eyes are better than ever, 20/15 so even better than wearing glasses. I really have no words and feel extremely grateful. Thank you again Dr Mullie and the team! Tam N.",5.0
33,Dr. Marc Mullie,Ophthalmologist,4.9,267,Une très belle équipe avec qui on se sent en confiance,5.0
34,Dr. Marc Mullie,Ophthalmologist,4.9,267,"Très belle expérience, une équipe attentionnée et un spécialiste qui prend le temps de répondre à nos questions, et de nous rassurer tout au long de notre cheminement. La santé de mes yeux, pour moi ça n'a pas de prix! Pour avoir une vision ''full HD'' (20/15), je vous recommande sans hésiter le Dr. Mullie et la clinique Laservue! Bref, j'aurais du y aller bien avant... aucune crainte maintenant de référer mes proches! Encore MERCI! :)",5.0
35,Dr. Marc Mullie,Ophthalmologist,4.9,267,"Le travail executer par le Dr. Mullie et de son equipe est formidable et vous ne serez pad decu. L equpe vous accueille tres chaleureusement et son tres pro active a toute vos preocuppupation. Le Dr Mullie exerce depuis 1993 et a beaucoup d experience dans les traitements de chirurgies envers ses patients. J ai eu des craintes a mes debuts, mais je me sens tres confortable et tres a l aise lors de mon passage a la clinique. Toute inquietude et questions vous seront repondus, et vous serez en bonne main. J ai eu un traitement par trans-pkr, car je n etais pas candidat pour le laser. Le traitement s est bien deroule avec les instructions par le Docteur Mullie et son equipe lors du traitement et apres traitement pour mes visites.

 Pour les debutants comme moi au debut, c est definitivement normal de vous sentir angoisses ou avoir des craintes, mais rester confiant et faite confiance au Docteur Mullie et son equipe. Croyez-moi, cette clinique merite leur place parmi les tops!

Je le recommande tres fortement et essayer, vous verrez....

 =)",5.0
36,Dr. Marc Mullie,Ophthalmologist,4.9,267,Je suis très satisfaite de mon opération aux yeux. On se fait beaucoup de peurs pour rien quant à cette opération. J'aurais dû me faire opérer y a 5 ans !,4.5
37,Dr. Marc Mullie,Ophthalmologist,4.9,267,J'ai eu la chance d'être opéré aux yeux par Dr. Mullie! J'ai adoré le professionnalisme et le support de son équipe. L'opération s'est très bien déroulé et j'ai apprécié que Dr. Mullie m'explique étape par étape ce qu'il se passait durant l'opération et qu'il réponde à toutes mes questions avant et après celle-ci. Merci pour tout!,5.0
38,Dr. Marc Mullie,Ophthalmologist,4.9,267,Merci au Dr. Marc Mullie et à son personnel pour l'accueil et le professionnalisme de l'équipe. Il a su me mettre en confiance. Je suis très satisfait des résultats.,5.0
39,Dr. Marc Mullie,Ophthalmologist,4.9,267,"Suite à plusieurs recherches en ligne en regard sur la correction de la vision au laser, je me suis tourné sur la clinique Laservue. Le personnel est très accueillant. Les employés sont courtois et très soucieux aux bien-être de leurs patients a toutes les étapes menant à l'intervention(consultation, opération, suivis post-opératoire). 

Initialement, j'avais un certain doute sur la possibilité de retrouver la vision parfaite, étant donné que j'avais une très forte myopie aux alentours de -8. Le Dr Mullie m'a répondu a toutes les questions concernant les procédures pré et post-opératoires, de même que les avantages et les inconvénients. Inutiles de dire qu’après l'opération, j'ai retrouvé ma vue de jeune enfant et je confirme que ma vision est de 20/15. 

J'ai redécouvert une joie de vivre (tel qu'une meilleure productivité au travail et aux loisirs sportifs), enfin libéré de mes lunettes de prescription(je ne porte que des lunettes solaires au besoin lorsque je suis à l'extérieur bien sur!). Ceci dit, je prends un soin minutieux de mes yeux (gouttes, regards aux loins, manger des carottes, diminution du temps devant les écrans)pour maintenir une bonne santé oculaire. Un grand merci au Dr Mullie et a toute son équipe! Antoine P",5.0
40,Dr. Marc Mullie,Ophthalmologist,4.9,267,"Suite à plusieurs recherches en ligne en regard sur la correction de la vision au laser, je me suis tourné sur la clinique Laservue. Le personnel est très accueillant. Les employés sont courtois et très soucieux aux bien-être de leurs patients a toutes les étapes menant à l'intervention(consultation, opération, suivis post-opératoire). 

Initialement, j'avais un certain doute sur la possibilité de retrouver la vision parfaite, étant donné que j'avais une très forte myopie aux alentours de -8. Le Dr Mullie m'a répondu a toutes les questions concernant les procédures pré et post-opératoires, de même que les avantages et les inconvénients. Inutiles de dire qu’après l'opération, j'ai retrouvé ma vue de jeune enfant et je confirme que ma vision est de 20/15. 

J'ai redécouvert une joie de vivre (tel qu'une meilleure productivité au travail et aux loisirs sportifs), enfin libéré de mes lunettes de prescription(je ne porte que des lunettes solaires au besoin lorsque je suis à l'extérieur bien sur!). Ceci dit, je prends un soin minutieux de mes yeux (gouttes, regards aux loins, manger des carottes, diminution du temps devant les écrans)pour maintenir une bonne santé oculaire. Un grand merci au Dr Mullie et a toute son équipe! Antoine P",5.0
41,Dr. Marc Mullie,Ophthalmologist,4.9,267,"Mon ophtalmologiste m'a recommandé la clinique Laservue pour leur professionnalisme et leur grande expertise, je n'ai pas été déçu! J'ai rencontré Dr Mullie au rendez-vous pré-opératoire et il a pris le temps de répondre à toutes mes questions et m'expliquer les différents types de laser et leurs avantages/inconvénients. Le jour de la chirurgie, le Dr Mullie m'a rassuré par son grand calme et ses compétences techniques évidentes. Le Dr Mullie est un pro du domaine et ça paraît! Dr. Nault",5.0
42,Dr. Marc Mullie,Ophthalmologist,4.9,267,"J'ai grandement apprécié le professionalisme de Dr Mullie. Il m'a appris que mes yeux étaient tout à fait normaux et que je n'avais pas besoin de quelque intervention que ce soit, contrairement à ce que m'avait dit un autre ophtalmologiste qui cherchait à vendre une opération. Je recommande ce médecin avec enthousiasme.

François Lanctôt",5.0
43,Dr. Marc Mullie,Ophthalmologist,4.9,267,"I wanted to perform laser surgery for the last 3 months but was not confident enough after going to lasik md, clinique michel pop so decided to take an appointment with laservue because you get to see the doctor who will perform the surgery. Dr Mullie was my first choice based on the feedback I found online. I was quite nervous because lasik md recommended lasik 100% while clinique michel pop recommended intraocular lenses. So i went back to lasik md to meet the doctor and ask why i got 2 different recommendations. I was surprised when he said you could perform both surgeries but if it was me i would go for intraocular lenses (which i was told to do by michel pop). The doctor didnt even take time to talk and explain to me the pros and cons of both surgeries and ended up saying « its up to you the choice is yours ». So before going to laservue i was hoping that i would feel more confident. Since the second i arrived at laservue i was extremely happy about everything and in particular the staff. Everyone is smiling and while they were performing eye check i was explained everything. Then i got to see dr mullie and felt totally ready for the surgery which i decided to perform the day after. I never heard about PRK surgery before but was extremely confident since i was in good hands. I was also impressed by the honesty of dr mullie since he told me not to pay more to get another laser surgery if my vision decreases as i cant have any other laser surgery on my eyes since my cornea is so thin. All other cliniques told me that i could have another laser surgery if needed in a couple or years. On the day of the surgery everything went well. 3 weeks after, so today, i went for a follow up and i can see 20/15 wawww better than 20/20 vision. I can not thank dr mullie and his team enough and i will forever be grateful. Rita",5.0
44,Dr. Marc Mullie,Ophthalmologist,4.9,267,I cannot recommend Laservue enough. I did extensive research before opting for laser...in the end I chose to go with Laservue. One of the things that attracted me is the fact that you meet the doc who will be performing the procedure during your consultation so you have a chance to ask as many questions as you want. Dr Mullie was very patient with me. I've worn glasses for 20 years and when I tell you my eyesight is now a dream come true...wow! The procedure itself took about 15mins total. Dr Mullie & his whole team are amazing!! It's been 2 & a half weeks and I'm still in awe. My eyesight is now 20/15. Even better than 20/20! Keep up the good work!,5.0
45,Dr. Marc Mullie,Ophthalmologist,4.9,267,"Lors de ma première rencontre, j'avais très peur de faire la chirurgie car j'avais peur d'être aveugle par la suite, comme la plupart des gens. Dr Mullie a su comment me rassurer, il m'a donné l'information des milliers de cas qu'il a eu, des faits et il n'y avait absolument rien à craindre, alors j'ai passé à l'étape suivante, ma chirurgie. Au mois de mars 2019, j'ai fait ma chirurgie, je n'avais vraiment pas peur et j'étais prête à 100%, l'équipe au complet m'a super bien accueilli et m'a mis très confortable. Le tout s'est très bien déroulé, durant le processus je n'ai jamais senti que j'étais en train de devenir aveugle. Je n'ai ni senti de douleur. Dr Mullie est très expériencé et rencontre lui-même ses patients lors des prochains rendez-vous. C'est quelque chose que je recommende à tout le monde car ça change la vie de manière positive et avec Dr Mullie vous serez entre de bonnes mains, guaranti :)!! Merci à vous et à votre équipe !!",5.0
46,Dr. Marc Mullie,Ophthalmologist,4.9,267,"I would like to take this opportunity to thank Dr. Mullie and his entire team for my laser eye surgery. From the consultation, all of my questions and concerns were answered and I felt reassured and knew that I was in good hands. I was informed, guided and felt at ease throughout the surgery thanks to the care and professionalism of Dr. Mullie and his staff. I would highly recommend Laservue and Dr. Mullie, and thanks to he and his team’s care, professionalism and patience, what I thought was going to be a stressful and nerve wracking experience, became the easiest and most positive experience. Thank you very much doctor.

Roberto C",5.0
47,Dr. Marc Mullie,Ophthalmologist,4.9,267,"I'd like to take a moment to thank you Dr. Mullie for a great experience with my laser eye surgery. Throughout the process, I felt informed and importantly I felt confident having my eyes in your care. The whole team is quite professional and I would say I'm extremely satisfied with the results of my surgery. It's amazing to think my experience with you has improved my quality of life so much.
If you are reading this comment and considering laser eye surgery, I highly recommend you consult with Dr. Mullie if you are looking for a great and dedicated doctor who takes pride in his work.",5.0
48,Dr. Marc Mullie,Ophthalmologist,4.9,267,Thank you for everything. I recently had surgery to correct my vision and from the consultation to the surgery to the post checkup he was very informative and precise. The entire team are all helpful and so friendly. I would recommend them to anyone who needs anything done. Thank you very much : ),5.0
49,Dr. Marc Mullie,Ophthalmologist,4.9,267,"Je me suis fais opérer hier, après plus de 20 ans à porter des lentilles et des lunettes. Je n'ai que des éloges à faire sur Dr. Mullie et son équipe! 

D'abord, dès mon premier RDV pour l'évaluation à la clinique j'ai été rassurée par les connaissances et la gentillesse de l'équipe. Tout le monde était très rassurant, et Dr Mullie et su répondre à toutes mes questions ou inquiétudes. Le calme et l'assurance de Dr Mullie m'ont grandement rassurée. Si bien que je suis arrivée à mon rendez-vous pour l'opération relativement calme, pourtant je suis une personne naturellement nerveuse. Je savais que j'étais entre bonnes mains, et Dr Mullie m'a tout expliqué au fur et à mesure que l'opération se déroulait.

Un grand merci à Nathalie à qui j'ai pus tenir la main pendant la procédure, cela m'a été d'un grand réconfort.

L'opération s'est déroulée rapidement, sans douleur. Même après, je n'avais que très peu d'inconfort. Je me suis levée ce matin avec une vision plus que parfaite, plus de myopie, aucune douleur et presque pas d'inconfort. C'est magique. Je recommanderais Laservue à tout le monde.",5.0
50,Dr. Marc Mullie,Ophthalmologist,4.9,267,"I underwent laser eye surgery at Laservue clinic to correct my myopia (I’ve worn glasses since the age of 11), and I had the most incredible, quick, and painless experience with Dr. Marc Mullie and his entire team!

I was somewhat nervous of the process and procedure, but upon consultation with Dr. Mullie, his patience and care towards all my concerns and questions put me completely at ease.

The actual surgery was unbelievably fast and completely painless, with Dr. Mullie guiding me through everything that was happening and making sure I felt alright and wasn’t too nervous. He and his staff are so kind and made me feel very comfortable all the while being incredibly professional.

I couldn’t have asked for a better experience with Dr. Mullie. Thanks to him, I now have 20/20 vision and have had no pain or discomfort at all. I am now able to go about my daily routine without glasses or contacts, and I feel amazing. I never thought I would have had the courage to undergo laser eye surgery but with Dr. Mullie, it was the easiest decision and the best experience! Huge thank you to Dr. Mullie and his entire team!",5.0
51,Dr. Marc Mullie,Ophthalmologist,4.9,267,"Je me suis faite opérer en septembre 2018 par Dr Mullie pour corriger ma miopie. On sens vraiment qu'on a à faire a un expert , j'étais très stressée et Dr Mullie a sue m'apaiser et me mettre en confiance dès le début,très rassurant dans ses propos et répond clairement a toutes les questions. Personnellement je suis très contente d'avoir fait le lasik, c'est de loin la meilleure décision que j'ai prise Durant toute ma vie et tout ça c'est grâce au Dr Mullie, 

Merci docteur",5.0
52,Dr. Marc Mullie,Ophthalmologist,4.9,267,EXPÉRIENCE PASSÉE PRÉSENTE ET AVENIR J EN SUIS SUR Ca fait + de 10 ans J'ai été voir cette clinique LAZERVUE reçu comme un être humain ( non pas comme un numéro ou un client ) Traité comme un roi avec les égards etc Avec considération même les plus petites ont été entendus et expliqués Car mon cas était très particulier et rare complexe Je vie depuis avec une liberté et sensation de confort Le service est plus qu'impeccable 5 étoiles de luxe avec une équipe et associés qui nous traitent avec respect et courtoisie comme jamais vue auparavant J'avais comparé et j en suis fière Car j'ai eu plus qu 'espéré Merci a vous tout vous êtes comme une belle grande famille même 10 ans et + je reçois les mêmes attentions a chaque fois que j y retourne pour infos ou pour y référer des amis et famille Keep it that way,5.0
53,Dr. Marc Mullie,Ophthalmologist,4.9,267,"I would like to start my review by giving an enormous thank you to Dr. Mullie and his team for the “miracle” that they have brought to my life. I am only five days out of Lasik surgery and my results are outstanding. 

Dr. Mullie was attentive, patient, caring and answered all my questions until I had no doubts left. The staffs were extremely professional, kind, caring and made sure that I felt comfortable at all time. PS. I've had several consultations at different clinics, Laservue is the only clinic where I felt genuine care from the staffs and had my best interest at heart.

I am only a few days out and I cannot describe how beautiful the world is around me. What amazes me is the fact that my eyes don’t even feel like they’ve been through surgery, I am experiencing zero sides!

Once again, I would like to thank Dr. Mullie and his amazing team at Laservue!",5.0
54,Dr. Marc Mullie,Ophthalmologist,4.9,267,"J'ai récemment eu la chirurgie au laser chez Laservue, cette clinique m'avait été référée par des amies pour la grande compétence des médecins et je n'ai pas été déçue. Dr Mullie est très compétent, il prend le temps de répondre à nos questions, il est rassurant et on se sent tout de suite en confiance. La première rencontre d'évaluation a bien été, les membres de l'équipe sont très professionnels et attentionnés. La chirurgie s'est très bien déroulée, on prend le temps de nous expliquer le déroulement, encore une fois j'avais des questions et Dr Mullie a pris du temps pour y répondre. Il nous guide tout au long de la chirurgie, nous rassure, une infirmière est à nos côtés aussi. Encore une fois on se sent en confiance avec lui alors on ne peut être craintif. Du début des démarches jusqu'à mon premier suivi post-chirurgie j'ai eu une très belle expérience, Dr Mullie est vraiment le meilleur de sa spécialité, il est à l'écoute il ne minimise pas nos craintes et ne rend pas l'intervention stressante. Bref, professionnalisme, compétence et accompagnement font que je vais certainement référer d'autres clients à cette clinique et à Dr Mullie. Je suis très reconnaissante. Merci !",5.0
55,Dr. Marc Mullie,Ophthalmologist,4.9,267,"Last week I finally made the leap to undergo laser eye surgery and there are no regrets! My entire experience with Dr. Mullie and the Laservue Clinic was wonderful. My vision is now better than 20/20 and the surgery was quick and painless. Dr. Mullie and his staff talk you through every step of hte way, and unlike other Lasik clinics I consulted with, they have your best interests at heart and do not pressure you into making an appointment, but rather simply give you the facts and let you decide. I would (and already have!) highly recommend this clinic and Dr. Mullie to anyone who is thinking about getting laser eye surgery.",5.0
